string,string
语言包的key,语言包value
id,value
********************************Chinese,中文********************************
game_name_C,河马河马
1_C,猛鬼别敲门
2_C,查看广告
3_C,查看
4_C,宿舍安全须知
5_C,大礼包
6_C,不了，谢谢
7_C,打开
8_C,关闭
9_C,驱魔百宝箱
10_C,关门
11_C,登录7天可获得
12_C,已兑换
13_C,返回主界面
14_C,知道了
15_C,获得
16_C,点击查看
17_C,去看看
18_C,猎梦者模式
19_C,新
20_C,被猛鬼击杀
21_C,成功击杀猛鬼
22_C,领取
23_C,三倍领取
24_C,狂暴
25_C,护盾
26_C,失败的猛鬼
27_C,成功的猛鬼
28_C,继续游戏
29_C,建筑
30_C,去购买
31_C,未拥有
32_C,加载中
33_C,开始游戏
34_C,负
35_C,幸运转盘
36_C,猛鬼模式
37_C,老虎机
38_C,宿舍
39_C,第一名
40_C,猛鬼
41_C,匹配中
42_C,已准备
43_C,准备
44_C,签到
45_C,设置
46_C,声音
47_C,用户协议
48_C,震动
49_C,免费试用
50_C,8号当铺
51_C,蜜罐道具
52_C,升级
53_C,关、开
54_C,使用中
55_C,双倍领取
56_C,登录签到
57_C,已领取
58_C,免费抽奖
59_C,免费
60_C,皮肤
61_C,上床
62_C,立即挑战
63_C,未完成
64_C,加固
65_C,胜
66_C,生效中
67_C,高科技
68_C,黑科技
69_C,神级道具
70_C,你
71_C,加载游戏资源：
72_C,不同意
73_C,同意
74_C,暂停
75_C,返回主页将无法获得游戏奖励哦！
76_C,回主页
77_C,1.猛鬼来了，进入一间无人的房间，上床
78_C,2.升级潮湿小床,
79_C,3.升级初级铁门2,
80_C,4.升级生硬小床,
81_C,5.升级标准单人床,
82_C,6.建造两座辟邪轻弩,
83_C,7.升级温暖单人床,
84_C,8.建造两个发霉发电机,
85_C,9.升级三星单人床,
86_C,10.拥有一个强化大炮,
87_C,11.建造挖铜矿
88_C,去8号当铺买
89_C,可建造 0/1
90_C,已建造
91_C,免费升级
92_C,门被攻击时，每秒对鬼 造成1%最大生命值的伤害
93_C,基础
94_C,赚钱
95_C,建筑蓝图不足，请到商店购买
96_C,建筑数量已达上限
97_C,需要一个
